full_taxonomy,species_group,notes
Platydracus apicipennis,apicipennis,
Platydracus incognitus,apicipennis,
Platydracus biseriatus,buquetii,
Platydracus buqueti,buquetii,
Platydracus castaneus,buquetii,
Platydracus ferox,buquetii,
Platydracus occultus,buquetii,
Platydracus phoenicurus,buquetii,
Platydracus potens,buquetii,
Platydracus vittatus,buquetii,
Platydracus caliginosus,caliginosus,
Platydracus funebris,caliginosus,
Platydracus nudicollis,caliginosus,
Platydracus praelongus,caliginosus,
Platydracus tarsalis,caliginosus,
Platydracus centralis,centralis,
Platydracus modestus,centralis,
Platydracus cinnamopterus,cinnamopterus,= cinnamopterus A
Platydracus praetermissus,cinnamopterus,= cinnamopterus C
Platydracus zonatus,cinnamopterus,= cinnamopterus B
Platydracus cyanomelas,cyanomelas,noted as tricky
Platydracus gracilipes,cyanomelas,noted as tricky
Platydracus mendicus,cyanomelas,"? = cyanomelas, noted as tricky"
Platydracus nubilis,cyanomelas,noted as tricky
Platydracus optatus,cyanomelas,"? = cyanomelas, noted as tricky"
Platydracus pluvius,cyanomelas,noted as tricky
Platydracus salvinianus,cyanomelas,noted as tricky
Platydracus femoratus,femoratus,typically requires aedeagi
Platydracus sallaei,femoratus,typically requires aedeagi
Platydracus prasinivariegatus,femoratus,typically requires aedeagi
Platydracus insperatus,femoratus,typically requires aedeagi
Platydracus ignotus,femoratus,typically requires aedeagi
Platydracus championi,femoratus,typically requires aedeagi
Platydracus pluviasilva,femoratus,typically requires aedeagi
Platydracus exulans,fossator,
Platydracus fossator,fossator,
Platydracus rutilicauda,fossator,
Platydracus viridanus,fossator,
Platydracus arinemexus,fuscomaculatus,noted as tricky
Platydracus casarum,fuscomaculatus,noted as tricky
Platydracus comes,fuscomaculatus,noted as tricky
Platydracus discretus,fuscomaculatus,noted as tricky
Platydracus fervidus fervidus,fuscomaculatus,noted as tricky
Platydracus fervidus memnonius,fuscomaculatus,noted as tricky
Platydracus fervidus stercopsis,fuscomaculatus,noted as tricky
Platydracus laticeps,fuscomaculatus,noted as tricky
Platydracus pecki,fuscomaculatus,noted as tricky
Platydracus quernus,fuscomaculatus,noted as tricky
Platydracus rusticus,fuscomaculatus,noted as tricky
Platydracus immaculatus,immaculatus,
Platydracus maculosus,maculosus,
Platydracus notatus,maculosus,
Platydracus mexicanus,mexicanus,
Platydracus temporalis,mexicanus,
Platydracus angusticeps,tomentosus,
Platydracus dietrichi,tomentosus,
Platydracus discors,tomentosus,
Platydracus pinorum,tomentosus,
Platydracus sagittifer,tomentosus,
Platydracus sepulchralis,tomentosus,
Platydracus tomentosus,tomentosus,
Platydracus violaceus,violaceus,